iter	Passed	Remaining
690	1147	512
691	1147	510
692	1148	508
693	1149	506
694	1150	504
695	1151	503
696	1153	501
697	1153	499
698	1154	497
699	1155	495
700	1156	493
701	1157	491
702	1158	489
703	1159	487
704	1159	485
705	1160	483
706	1161	481
707	1162	479
708	1163	477
709	1165	475
710	1165	473
711	1166	471
712	1167	469
713	1168	468
714	1170	466
715	1171	464
716	1172	462
717	1172	460
718	1173	458
719	1175	457
720	1177	455
721	1178	453
722	1178	451
723	1179	449
724	1180	447
725	1182	446
726	1183	444
727	1184	442
728	1185	440
729	1186	438
730	1187	436
731	1188	435
732	1189	433
733	1190	431
734	1191	429
735	1191	427
736	1192	425
737	1194	424
738	1195	422
739	1196	420
740	1197	418
741	1197	416
742	1198	414
743	1200	412
744	1201	411
745	1202	409
746	1202	407
747	1203	405
748	1204	403
749	1205	401
750	1206	400
751	1207	398
752	1208	396
753	1209	394
754	1210	392
755	1211	390
756	1212	389
757	1213	387
758	1214	385
759	1215	383
760	1216	382
761	1218	380
762	1219	378
763	1220	376
764	1220	375
765	1221	373
766	1222	371
767	1223	369
768	1225	368
769	1225	366
770	1226	364
771	1227	362
772	1227	360
773	1228	358
774	1230	357
775	1230	355
776	1231	353
777	1232	351
778	1233	349
779	1233	347
780	1234	346
781	1236	344
782	1237	342
783	1238	341
784	1238	339
785	1239	337
786	1240	335
787	1241	334
788	1242	332
789	1243	330
790	1244	328
791	1244	326
792	1245	325
793	1246	323
794	1247	321
795	1248	320
796	1249	318
797	1250	316
798	1251	314
799	1251	312
800	1252	311
801	1254	309
802	1255	307
803	1256	306
804	1256	304
805	1257	302
806	1258	300
807	1259	299
808	1260	297
809	1261	295
810	1262	294
811	1263	292
812	1263	290
813	1264	288
814	1265	287
815	1266	285
816	1268	284
817	1268	282
818	1269	280
819	1270	278
820	1270	277
821	1271	275
822	1273	273
823	1274	272
824	1275	270
825	1275	268
826	1276	267
827	1277	265
828	1278	263
829	1279	262
830	1280	260
831	1281	258
832	1282	257
833	1282	255
834	1283	253
835	1285	252
836	1286	250
837	1287	248
838	1287	247
839	1288	245
840	1289	243
841	1290	242
842	1292	240
843	1293	238
844	1293	237
845	1294	235
846	1295	234
847	1296	232
848	1297	230
849	1298	229
850	1300	227
851	1300	225
852	1301	224
853	1302	222
854	1304	221
855	1305	219
856	1306	217
857	1306	216
858	1307	214
859	1308	213
860	1310	211
861	1311	209
862	1312	208
863	1313	206
864	1313	205
865	1314	203
866	1316	201
867	1317	200
868	1318	198
869	1319	197
870	1319	195
871	1320	193
872	1321	192
873	1322	190
874	1323	189
875	1324	187
876	1325	185
877	1326	184
878	1327	182
879	1328	181
880	1329	179
881	1330	178
882	1331	176
883	1332	174
884	1332	173
885	1333	171
886	1334	170
887	1335	168
888	1336	166
889	1337	165
890	1337	163
891	1339	162
892	1340	160
893	1341	159
894	1341	157
895	1342	155
896	1343	154
897	1343	152
898	1345	151
899	1346	149
900	1347	148
901	1348	146
902	1348	144
903	1349	143
904	1350	141
905	1351	140
906	1352	138
907	1353	137
908	1354	135
909	1355	134
910	1355	132
911	1356	130
912	1358	129
913	1359	127
914	1360	126
915	1361	124
916	1363	123
917	1364	121
918	1365	120
919	1366	118
920	1367	117
921	1367	115
922	1368	114
923	1370	112
924	1371	111
925	1372	109
926	1372	108
927	1373	106
928	1374	105
929	1375	103
930	1376	102
931	1377	100
932	1378	98
933	1378	97
934	1379	95
935	1380	94
936	1381	92
937	1382	91
938	1383	89
939	1384	88
940	1385	86
941	1386	85
942	1387	83
943	1388	82
944	1389	80
945	1390	79
946	1391	77
947	1392	76
948	1392	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1397	67
954	1398	65
955	1399	64
956	1401	62
957	1402	61
958	1402	59
959	1403	58
960	1404	56
961	1405	55
962	1406	54
963	1407	52
964	1408	51
965	1409	49
966	1409	48
967	1410	46
968	1411	45
969	1412	43
970	1413	42
971	1414	40
972	1415	39
973	1416	37
974	1417	36
975	1417	34
976	1419	33
977	1420	31
978	1420	30
979	1421	29
980	1422	27
981	1423	26
982	1423	24
983	1425	23
984	1426	21
985	1427	20
986	1427	18
987	1428	17
988	1429	15
989	1429	14
990	1431	12
991	1432	11
992	1433	10
993	1433	8
994	1434	7
995	1435	5
996	1436	4
997	1437	2
998	1438	1
999	1439	0
